,frequency,mode,date,time,mycall,urrst,urnr,call,myrst,mynr,stn,datetime,hour,band,band_int,frequency_counts,station_type,dxcc,zonecq,zoneitu,continent,latitude,longitude,prefix,cum_dxcc_band,dxcc_band,dxcc_band_evol_all,dxcc_band_evol_10,dxcc_band_evol_15,dxcc_band_evol_20,dxcc_band_evol_40,dxcc_band_evol_80,dxcc_band_evol_160,cum_zonecq_band,zonecq_band,zonecq_band_evol_all,zonecq_band_evol_10,zonecq_band_evol_15,zonecq_band_evol_20,zonecq_band_evol_40,zonecq_band_evol_80,zonecq_band_evol_160,mults_evol_all,mults_evol_10,mults_evol_15,mults_evol_20,mults_evol_40,mults_evol_80,mults_evol_160,call_counter_band,isdupe,qsos_counter_band,qsos_evol_all,qsos_evol_10,qsos_evol_15,qsos_evol_20,qsos_evol_40,qsos_evol_80,qsos_evol_160,points,morse_length_seconds
0,7010.0,CW,2016-11-26,0000,EA2EA,599,14,DK0TU,599,14,0,2016-11-26 00:00:00,0,40.0,4.0,179.0,running,Fed. Rep. of Germany,14,28,continentEU,51.00,-10.00,DL,1,1,1,,,,1.0,,,1,1,1,,,,1.0,,,2,,,,2.0,,,1,0,1.0,1.0,,,,1.0,,,1,2.28
1,7010.0,CW,2016-11-26,0000,EA2EA,599,14,LY5Q,599,15,0,2016-11-26 00:00:00,0,40.0,4.0,179.0,running,Lithuania,15,29,continentEU,55.45,-23.63,LY,1,1,2,,,,2.0,,,1,1,2,,,,2.0,,,4,,,,4.0,,,1,0,1.0,2.0,,,,2.0,,,1,2.12
2,7010.0,CW,2016-11-26,0001,EA2EA,599,14,W3DA,599,5,0,2016-11-26 00:01:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,1,1,3,,,,3.0,,,1,1,3,,,,3.0,,,6,,,,6.0,,,1,0,1.0,3.0,,,,3.0,,,3,1.72
3,3528.0,CW,2016-11-26,0001,EA2EA,599,14,IO1T,599,15,1,2016-11-26 00:01:00,0,80.0,5.0,35.0,running,Italy,15,28,continentEU,42.82,-12.58,I,1,1,4,,,,,1.0,,1,1,4,,,,,1.0,,8,,,,,2.0,,1,0,1.0,4.0,,,,,1.0,,1,1.72
4,7010.0,CW,2016-11-26,0001,EA2EA,599,14,N4NO,599,4,0,2016-11-26 00:01:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,2,0,4,,,,3.0,,,1,1,5,,,,4.0,,,9,,,,7.0,,,1,0,1.0,5.0,,,,4.0,,,3,1.64
5,7010.0,CW,2016-11-26,0001,EA2EA,599,14,Z36W,599,15,0,2016-11-26 00:01:00,0,40.0,4.0,179.0,running,Macedonia,15,28,continentEU,41.60,-21.65,Z3,1,1,5,,,,4.0,,,2,0,5,,,,4.0,,,10,,,,8.0,,,1,0,1.0,6.0,,,,5.0,,,1,2.12
6,3528.0,CW,2016-11-26,0001,EA2EA,599,14,OK7Y,599,15,1,2016-11-26 00:01:00,0,80.0,5.0,35.0,running,Czech Republic,15,28,continentEU,50.00,-16.00,OK,1,1,6,,,,,2.0,,2,0,5,,,,,1.0,,11,,,,,3.0,,1,0,1.0,7.0,,,,,2.0,,1,2.2
7,7010.0,CW,2016-11-26,0002,EA2EA,599,14,N4PN,599,5,0,2016-11-26 00:02:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,3,0,6,,,,4.0,,,2,0,5,,,,4.0,,,11,,,,8.0,,,1,0,1.0,8.0,,,,6.0,,,3,1.64
8,7010.0,CW,2016-11-26,0002,EA2EA,599,14,UT4U,599,16,0,2016-11-26 00:02:00,0,40.0,4.0,179.0,running,Ukraine,16,29,continentEU,50.00,-30.00,UR,1,1,7,,,,5.0,,,1,1,6,,,,5.0,,,13,,,,10.0,,,1,0,1.0,9.0,,,,7.0,,,1,1.48
9,7010.0,CW,2016-11-26,0002,EA2EA,599,14,EU8F,599,16,0,2016-11-26 00:02:00,0,40.0,4.0,179.0,running,Belarus,16,29,continentEU,54.00,-28.00,EU,1,1,8,,,,6.0,,,2,0,6,,,,5.0,,,14,,,,11.0,,,1,0,1.0,10.0,,,,8.0,,,1,1.64
10,7010.0,CW,2016-11-26,0002,EA2EA,599,14,K3ND,599,5,0,2016-11-26 00:02:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,4,0,8,,,,6.0,,,3,0,6,,,,5.0,,,14,,,,11.0,,,1,0,1.0,11.0,,,,9.0,,,3,1.72
11,7010.0,CW,2016-11-26,0003,EA2EA,599,14,N8MZ,599,4,0,2016-11-26 00:03:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,5,0,8,,,,6.0,,,2,0,6,,,,5.0,,,14,,,,11.0,,,1,0,1.0,12.0,,,,10.0,,,3,1.88
12,7010.0,CW,2016-11-26,0003,EA2EA,599,14,HG7T,599,15,0,2016-11-26 00:03:00,0,40.0,4.0,179.0,running,Hungary,15,28,continentEU,47.12,-19.28,HA,1,1,9,,,,7.0,,,3,0,6,,,,5.0,,,15,,,,12.0,,,1,0,1.0,13.0,,,,11.0,,,1,1.64
13,7010.0,CW,2016-11-26,0003,EA2EA,599,14,K1KP,599,5,0,2016-11-26 00:03:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,6,0,9,,,,7.0,,,4,0,6,,,,5.0,,,15,,,,12.0,,,1,0,1.0,14.0,,,,12.0,,,3,2.2
14,3528.0,CW,2016-11-26,0003,EA2EA,599,14,DF4ZL,599,14,1,2016-11-26 00:03:00,0,80.0,5.0,35.0,running,Fed. Rep. of Germany,14,28,continentEU,51.00,-10.00,DL,1,1,10,,,,,3.0,,1,1,7,,,,,2.0,,17,,,,,5.0,,1,0,1.0,15.0,,,,,3.0,,1,2.36
15,7010.0,CW,2016-11-26,0003,EA2EA,599,14,RX1A,599,16,0,2016-11-26 00:03:00,0,40.0,4.0,179.0,running,European Russia,16,29,continentEU,53.65,-41.37,UA,1,1,11,,,,8.0,,,3,0,7,,,,5.0,,,18,,,,13.0,,,1,0,1.0,16.0,,,,13.0,,,1,1.96
16,3528.0,CW,2016-11-26,0003,EA2EA,599,14,SP5XO,599,15,1,2016-11-26 00:03:00,0,80.0,5.0,35.0,running,Poland,15,28,continentEU,52.28,-18.67,SP,1,1,12,,,,,4.0,,3,0,7,,,,,2.0,,19,,,,,6.0,,1,0,1.0,17.0,,,,,4.0,,1,2.36
17,7010.0,CW,2016-11-26,0003,EA2EA,599,14,UT7MR,599,16,0,2016-11-26 00:03:00,0,40.0,4.0,179.0,running,Ukraine,16,29,continentEU,50.00,-30.00,UR,2,0,12,,,,8.0,,,4,0,7,,,,5.0,,,19,,,,13.0,,,1,0,1.0,18.0,,,,14.0,,,1,1.96
18,3528.0,CW,2016-11-26,0004,EA2EA,599,14,DL0WW,599,14,1,2016-11-26 00:04:00,0,80.0,5.0,35.0,running,Fed. Rep. of Germany,14,28,continentEU,51.00,-10.00,DL,2,0,12,,,,,4.0,,2,0,7,,,,,2.0,,19,,,,,6.0,,1,0,1.0,19.0,,,,,5.0,,1,2.6
19,7010.0,CW,2016-11-26,0004,EA2EA,599,14,N4OX,599,5,0,2016-11-26 00:04:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,7,0,12,,,,8.0,,,5,0,7,,,,5.0,,,19,,,,13.0,,,1,0,1.0,20.0,,,,15.0,,,3,1.88
20,3528.0,CW,2016-11-26,0004,EA2EA,599,14,DL3YM,599,14,1,2016-11-26 00:04:00,0,80.0,5.0,35.0,running,Fed. Rep. of Germany,14,28,continentEU,51.00,-10.00,DL,3,0,12,,,,,4.0,,3,0,7,,,,,2.0,,19,,,,,6.0,,1,0,1.0,21.0,,,,,6.0,,1,2.44
21,7009.0,CW,2016-11-26,0004,EA2EA,599,14,JT5DX,599,23,0,2016-11-26 00:04:00,0,40.0,4.0,1.0,inband,Mongolia,23,32,continentAS,46.77,-102.17,JT,1,1,13,,,,9.0,,,1,1,8,,,,6.0,,,21,,,,15.0,,,1,0,1.0,22.0,,,,16.0,,,3,2.2
22,7010.0,CW,2016-11-26,0004,EA2EA,599,14,OH0R,599,15,0,2016-11-26 00:04:00,0,40.0,4.0,179.0,running,Aland Islands,15,18,continentEU,60.13,-20.37,OH0,1,1,14,,,,10.0,,,4,0,8,,,,6.0,,,22,,,,16.0,,,1,0,1.0,23.0,,,,17.0,,,1,2.12
23,3528.0,CW,2016-11-26,0004,EA2EA,599,14,G8X,599,14,1,2016-11-26 00:04:00,0,80.0,5.0,35.0,running,England,14,27,continentEU,52.77,1.47,G,1,1,15,,,,,5.0,,4,0,8,,,,,2.0,,23,,,,,7.0,,1,0,1.0,24.0,,,,,7.0,,1,1.64
24,7010.0,CW,2016-11-26,0004,EA2EA,599,14,UA9FAR,599,17,0,2016-11-26 00:04:00,0,40.0,4.0,179.0,running,Asiatic Russia,17,30,continentAS,55.88,-84.08,UA9,1,1,16,,,,11.0,,,1,1,9,,,,7.0,,,25,,,,18.0,,,1,0,1.0,25.0,,,,18.0,,,3,2.6
25,7010.0,CW,2016-11-26,0005,EA2EA,599,14,OL5J,599,15,0,2016-11-26 00:05:00,0,40.0,4.0,179.0,running,Czech Republic,15,28,continentEU,50.00,-16.00,OK,1,1,17,,,,12.0,,,5,0,9,,,,7.0,,,26,,,,19.0,,,1,0,1.0,26.0,,,,19.0,,,1,2.04
26,3514.0,CW,2016-11-26,0005,EA2EA,599,14,CN2AA,599,33,1,2016-11-26 00:05:00,0,80.0,5.0,1.0,inband,Morocco,33,37,continentAF,32.00,5.00,CN,1,1,18,,,,,6.0,,1,1,10,,,,,3.0,,28,,,,,9.0,,1,0,1.0,27.0,,,,,8.0,,3,2.12
27,7010.0,CW,2016-11-26,0005,EA2EA,599,14,OK2FD,599,15,0,2016-11-26 00:05:00,0,40.0,4.0,179.0,running,Czech Republic,15,28,continentEU,50.00,-16.00,OK,2,0,18,,,,12.0,,,6,0,10,,,,7.0,,,28,,,,19.0,,,1,0,1.0,28.0,,,,20.0,,,1,2.52
28,7010.0,CW,2016-11-26,0005,EA2EA,599,14,SO4R,599,15,0,2016-11-26 00:05:00,0,40.0,4.0,179.0,running,Poland,15,28,continentEU,52.28,-18.67,SP,1,1,19,,,,13.0,,,7,0,10,,,,7.0,,,29,,,,20.0,,,1,0,1.0,29.0,,,,21.0,,,1,1.72
29,7010.0,CW,2016-11-26,0005,EA2EA,599,14,S55O,599,15,0,2016-11-26 00:05:00,0,40.0,4.0,179.0,running,Slovenia,15,28,continentEU,46.00,-14.00,S5,1,1,20,,,,14.0,,,8,0,10,,,,7.0,,,30,,,,21.0,,,1,0,1.0,30.0,,,,22.0,,,1,1.72
30,3507.0,CW,2016-11-26,0005,EA2EA,599,14,KC1XX,599,5,1,2016-11-26 00:05:00,0,80.0,5.0,1.0,inband,United States,5,8,continentNA,37.53,91.67,K,1,1,21,,,,,7.0,,1,1,11,,,,,4.0,,32,,,,,11.0,,1,0,1.0,31.0,,,,,9.0,,3,2.84
31,7010.0,CW,2016-11-26,0005,EA2EA,599,14,9M8K,599,28,0,2016-11-26 00:05:00,0,40.0,4.0,179.0,running,East Malaysia,28,54,continentOC,2.68,-113.32,9M6,1,1,22,,,,15.0,,,1,1,12,,,,8.0,,,34,,,,23.0,,,1,0,1.0,32.0,,,,23.0,,,3,2.28
32,7010.0,CW,2016-11-26,0006,EA2EA,599,14,NO7R,599,5,0,2016-11-26 00:06:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,8,0,22,,,,15.0,,,6,0,12,,,,8.0,,,34,,,,23.0,,,1,0,1.0,33.0,,,,24.0,,,3,1.8
33,7010.0,CW,2016-11-26,0006,EA2EA,599,14,W9OP,599,4,0,2016-11-26 00:06:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,9,0,22,,,,15.0,,,3,0,12,,,,8.0,,,34,,,,23.0,,,1,0,1.0,34.0,,,,25.0,,,3,2.28
34,7010.0,CW,2016-11-26,0006,EA2EA,599,14,OM2XA,599,15,0,2016-11-26 00:06:00,0,40.0,4.0,179.0,running,Slovak Republic,15,28,continentEU,49.00,-20.00,OM,1,1,23,,,,16.0,,,9,0,12,,,,8.0,,,35,,,,24.0,,,1,0,1.0,35.0,,,,26.0,,,1,2.44
35,7010.0,CW,2016-11-26,0007,EA2EA,599,14,KU2C,599,5,0,2016-11-26 00:07:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,10,0,23,,,,16.0,,,7,0,12,,,,8.0,,,35,,,,24.0,,,1,0,1.0,36.0,,,,27.0,,,3,2.04
36,7010.0,CW,2016-11-26,0007,EA2EA,599,14,OZ4CG,599,14,0,2016-11-26 00:07:00,0,40.0,4.0,179.0,running,Denmark,14,18,continentEU,56.00,-10.00,OZ,1,1,24,,,,17.0,,,2,0,12,,,,8.0,,,36,,,,25.0,,,1,0,1.0,37.0,,,,28.0,,,1,2.6
37,7010.0,CW,2016-11-26,0007,EA2EA,599,14,W4HT,599,5,0,2016-11-26 00:07:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,11,0,24,,,,17.0,,,8,0,12,,,,8.0,,,36,,,,25.0,,,1,0,1.0,38.0,,,,29.0,,,3,1.56
38,3504.0,CW,2016-11-26,0008,EA2EA,599,14,4X6FR,599,20,1,2016-11-26 00:08:00,0,80.0,5.0,2.0,multi,Israel,20,39,continentAS,31.32,-34.82,4X,1,1,25,,,,,8.0,,1,1,13,,,,,5.0,,38,,,,,13.0,,1,0,1.0,39.0,,,,,10.0,,3,2.44
39,7010.0,CW,2016-11-26,0007,EA2EA,599,14,K3JWI,599,4,0,2016-11-26 00:07:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,12,0,25,,,,17.0,,,4,0,13,,,,8.0,,,38,,,,25.0,,,1,0,1.0,40.0,,,,30.0,,,3,2.36
40,7058.0,CW,2016-11-26,0008,EA2EA,599,14,UA2F,599,15,0,2016-11-26 00:08:00,0,40.0,4.0,1.0,inband,Kaliningrad,15,29,continentEU,54.72,-20.52,UA2,1,1,26,,,,18.0,,,10,0,13,,,,8.0,,,39,,,,26.0,,,1,0,1.0,41.0,,,,31.0,,,1,1.8
41,7010.0,CW,2016-11-26,0008,EA2EA,599,14,UT0RM,599,16,0,2016-11-26 00:08:00,0,40.0,4.0,179.0,running,Ukraine,16,29,continentEU,50.00,-30.00,UR,3,0,26,,,,18.0,,,5,0,13,,,,8.0,,,39,,,,26.0,,,1,0,1.0,42.0,,,,32.0,,,1,2.2
42,7010.0,CW,2016-11-26,0008,EA2EA,599,14,K1KI,599,5,0,2016-11-26 00:08:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,13,0,26,,,,18.0,,,9,0,13,,,,8.0,,,39,,,,26.0,,,1,0,1.0,43.0,,,,33.0,,,3,1.88
43,7005.0,CW,2016-11-26,0008,EA2EA,599,14,HB0/DK4YJ,599,14,0,2016-11-26 00:08:00,0,40.0,4.0,1.0,inband,Liechtenstein,14,28,continentEU,47.13,-9.57,HB0,1,1,27,,,,19.0,,,3,0,13,,,,8.0,,,40,,,,27.0,,,1,0,1.0,44.0,,,,34.0,,,1,5.0
44,3528.0,CW,2016-11-26,0008,EA2EA,599,14,OH6AC,599,15,1,2016-11-26 00:08:00,0,80.0,5.0,35.0,running,Finland,15,18,continentEU,63.78,-27.08,OH,1,1,28,,,,,9.0,,4,0,13,,,,,5.0,,41,,,,,14.0,,1,0,1.0,45.0,,,,,11.0,,1,2.28
