,frequency,mode,date,time,mycall,urrst,urnr,call,myrst,mynr,stn,datetime,hour,band,band_int,frequency_counts,station_type,dxcc,zonecq,zoneitu,continent,latitude,longitude,prefix,cum_dxcc_band,dxcc_band,dxcc_band_evol_all,dxcc_band_evol_10,dxcc_band_evol_15,dxcc_band_evol_20,dxcc_band_evol_40,dxcc_band_evol_80,dxcc_band_evol_160,cum_zonecq_band,zonecq_band,zonecq_band_evol_all,zonecq_band_evol_10,zonecq_band_evol_15,zonecq_band_evol_20,zonecq_band_evol_40,zonecq_band_evol_80,zonecq_band_evol_160,mults_evol_all,mults_evol_10,mults_evol_15,mults_evol_20,mults_evol_40,mults_evol_80,mults_evol_160,call_counter_band,isdupe,qsos_counter_band,qsos_evol_all,qsos_evol_10,qsos_evol_15,qsos_evol_20,qsos_evol_40,qsos_evol_80,qsos_evol_160,points,morse_length_seconds
0,7003.0,CW,2016-11-26,0000,P33W,599,20,RG4A,599,16,0,2016-11-26 00:00:00,0,40.0,4.0,156.0,running,European Russia,16,29,continentEU,53.65,-41.37,UA,1,1,1,,,,1.0,,,1,1,1,,,,1.0,,,2,,,,2.0,,,1,0,1.0,1.0,,,,1.0,,,3,1.64
1,3505.0,CW,2016-11-26,0000,P33W,599,20,VY2TT,599,5,1,2016-11-26 00:00:00,0,80.0,5.0,2.0,multi,Canada,5,9,continentNA,44.35,78.75,VE,1,1,2,,,,,1.0,,1,1,2,,,,,1.0,,4,,,,,2.0,,1,0,1.0,2.0,,,,,1.0,,3,2.2
2,7003.0,CW,2016-11-26,0000,P33W,599,20,SN7O,599,15,0,2016-11-26 00:00:00,0,40.0,4.0,156.0,running,Poland,15,28,continentEU,52.28,-18.67,SP,1,1,3,,,,2.0,,,1,1,3,,,,2.0,,,6,,,,4.0,,,1,0,1.0,3.0,,,,2.0,,,3,1.72
3,7003.0,CW,2016-11-26,0000,P33W,599,20,K3CR,599,5,0,2016-11-26 00:00:00,0,40.0,4.0,156.0,running,United States,5,8,continentNA,37.53,91.67,K,1,1,4,,,,3.0,,,1,1,4,,,,3.0,,,8,,,,6.0,,,1,0,1.0,4.0,,,,3.0,,,3,1.96
4,3560.0,CW,2016-11-26,0000,P33W,599,20,LZ5XQ,599,20,1,2016-11-26 00:00:00,0,80.0,5.0,1.0,multi,Bulgaria,20,28,continentEU,42.83,-25.08,LZ,1,1,5,,,,,2.0,,1,1,5,,,,,2.0,,10,,,,,4.0,,1,0,1.0,5.0,,,,,2.0,,3,2.6
5,7003.0,CW,2016-11-26,0000,P33W,599,20,OM8CW,599,15,0,2016-11-26 00:00:00,0,40.0,4.0,156.0,running,Slovak Republic,15,28,continentEU,49.00,-20.00,OM,1,1,6,,,,4.0,,,2,0,5,,,,3.0,,,11,,,,7.0,,,1,0,1.0,6.0,,,,4.0,,,3,2.6
6,7003.0,CW,2016-11-26,0000,P33W,599,20,9A7A,599,15,0,2016-11-26 00:00:00,0,40.0,4.0,156.0,running,Croatia,15,28,continentEU,45.18,-15.30,9A,1,1,7,,,,5.0,,,3,0,5,,,,3.0,,,12,,,,8.0,,,1,0,1.0,7.0,,,,5.0,,,3,1.96
7,7025.0,CW,2016-11-26,0000,P33W,599,20,K1KI,599,5,0,2016-11-26 00:00:00,0,40.0,4.0,2.0,inband,United States,5,8,continentNA,37.53,91.67,K,2,0,7,,,,5.0,,,2,0,5,,,,3.0,,,12,,,,8.0,,,1,0,1.0,8.0,,,,6.0,,,3,1.88
8,3537.0,CW,2016-11-26,0001,P33W,599,20,SO4R,599,15,1,2016-11-26 00:01:00,0,80.0,5.0,1.0,multi,Poland,15,28,continentEU,52.28,-18.67,SP,1,1,8,,,,,3.0,,1,1,6,,,,,3.0,,14,,,,,6.0,,1,0,1.0,9.0,,,,,3.0,,3,1.72
9,7003.0,CW,2016-11-26,0001,P33W,599,20,SP2LNW,599,15,0,2016-11-26 00:01:00,0,40.0,4.0,156.0,running,Poland,15,28,continentEU,52.28,-18.67,SP,2,0,8,,,,5.0,,,4,0,6,,,,3.0,,,14,,,,8.0,,,1,0,1.0,10.0,,,,7.0,,,3,2.76
